273, 1.7377878102107594e-05
274, 1.742755125648051e-05
275, 1.7477136122328333e-05
276, 1.7526633206229747e-05
277, 1.7576043010310678e-05
278, 1.7625366032295065e-05
279, 1.7674602765555663e-05
280, 1.7723753699163874e-05
281, 1.777281931793831e-05
282, 1.782180010249347e-05
283, 1.7870696529287457e-05
284, 1.7919509070669092e-05
285, 1.7968238194924046e-05
286, 1.8016884366320923e-05
287, 1.8065448045156224e-05
288, 1.8113929687799097e-05
289, 1.8162329746735163e-05
290, 1.8210648670609696e-05
291, 1.825888690427059e-05
292, 1.830704488881065e-05
293, 1.8355123061608873e-05
294, 1.8403121856371676e-05
295, 1.8451041703173775e-05
296, 1.849888302849703e-05
297, 1.8546646255271795e-05
298, 1.8594331802913458e-05
299, 1.8641940087362742e-05
300, 1.868947152112279e-05
301, 1.8736926513296434e-05
302, 1.878430546962352e-05
303, 1.883160879251684e-05
304, 1.8878836881098798e-05
305, 1.892599013123521e-05
306, 1.897306893557259e-05
307, 1.9020073683571042e-05
308, 1.9067004761538493e-05
309, 1.9113862552664996e-05
310, 1.9160647437055654e-05
311, 1.9207359791762326e-05
312, 1.9253999990818182e-05
313, 1.9300568405267273e-05
314, 1.9347065403197787e-05
315, 1.9393491349772158e-05
316, 1.9439846607257858e-05
317, 1.9486131535058334e-05
318, 1.9532346489742028e-05
319, 1.9578491825072955e-05
320, 1.9624567892038672e-05
321, 1.967057503888018e-05
322, 1.971651361111945e-05
323, 1.9762383951588176e-05
324, 1.9808186400455005e-05
325, 1.9853921295253128e-05
326, 1.9899588970907364e-05
327, 1.9945189759760652e-05
328, 1.9990723991600266e-05
329, 2.0036191993684266e-05
330, 2.0081594090767056e-05
331, 2.012693060512407e-05
332, 2.0172201856577954e-05
333, 2.0217408162522508e-05
334, 2.0262549837947403e-05
335, 2.0307627195462145e-05
336, 2.035264054532019e-05
337, 2.039759019544226e-05
338, 2.0442476451439505e-05
339, 2.04872996166371e-05
340, 2.0532059992095695e-05
341, 2.0576757876635368e-05
342, 2.0621393566856352e-05
343, 2.066596735716194e-05
344, 2.071047953977954e-05
345, 2.0754930404782397e-05
346, 2.0799320240109867e-05
347, 2.084364933158944e-05
348, 2.0887917962956426e-05
349, 2.0932126415874353e-05
350, 2.0976274969955737e-05
351, 2.1020363902781374e-05
352, 2.106439348991948e-05
353, 2.1108364004946436e-05
354, 2.115227571946482e-05
355, 2.1196128903122177e-05
356, 2.123992382363114e-05
357, 2.1283660746786118e-05
358, 2.13273399364829e-05
359, 2.1370961654735986e-05
360, 2.1414526161696693e-05
361, 2.145803371567075e-05
362, 2.1501484573135706e-05
363, 2.154487898875818e-05
364, 2.1588217215410623e-05
365, 2.163149950418877e-05
366, 2.1674726104427506e-05
367, 2.171789726371775e-05
368, 2.1761013227922634e-05
369, 2.1804074241193454e-05
370, 2.1847080545985727e-05
371, 2.1890032383074743e-05
372, 2.1932929991570867e-05
373, 2.197577360893566e-05
374, 2.201856347099598e-05
375, 2.2061299811959565e-05
376, 2.2103982864429694e-05
377, 2.2146612859420657e-05
378, 2.2189190026370447e-05
379, 2.2231714593156727e-05
380, 2.2274186786110376e-05
381, 2.231660683002915e-05
382, 2.235897494819235e-05
383, 2.2401291362373865e-05
384, 2.2443556292855468e-05
385, 2.2485769958441815e-05
386, 2.2527932576470867e-05
387, 2.2570044362829873e-05
388, 2.2612105531966663e-05
389, 2.2654116296902718e-05
390, 2.269607686924626e-05
391, 2.2737987459203736e-05
392, 2.2779848275594156e-05
393, 2.2821659525858847e-05
394, 2.2863421416075912e-05
395, 2.2905134150970404e-05
396, 2.29467979339274e-05
397, 2.298841296700291e-05
398, 2.302997945093622e-05
399, 2.307149758516055e-05
400, 2.3112967567814953e-05
401, 2.315438959575575e-05
402, 2.319576386456657e-05
403, 2.3237090568570917e-05
404, 2.3278369900841253e-05
405, 2.3319602053211607e-05
406, 2.336078721628639e-05
407, 2.3401925579452677e-05
408, 2.344301733088916e-05
409, 2.3484062657577258e-05
410, 2.352506174531094e-05
411, 2.3566014778707156e-05
412, 2.3606921941215337e-05
413, 2.3647783415128277e-05
414, 2.3688599381590006e-05
415, 2.372937002060787e-05
416, 2.3770095511059972e-05
417, 2.3810776030705897e-05
418, 2.3851411756195694e-05
419, 2.389200286307917e-05
420, 2.3932549525815003e-05
421, 2.397305191777992e-05
422, 2.4013510211277377e-05
423, 2.4053924577547453e-05
424, 2.4094295186773957e-05
425, 2.4134622208094844e-05
426, 2.4174905809609654e-05
427, 2.4215146158388968e-05
428, 2.425534342048136e-05
429, 2.4295497760923988e-05
430, 2.433560934374913e-05
431, 2.4375678331992596e-05
432, 2.4415704887702457e-05
433, 2.4455689171946557e-05
434, 2.4495631344821036e-05
435, 2.4535531565457343e-05
436, 2.4575389992030702e-05
437, 2.4615206781767535e-05
438, 2.465498209095345e-05
439, 2.4694716074939783e-05
440, 2.473440888815227e-05
441, 2.477406068409826e-05
442, 2.4813671615373583e-05
443, 2.4853241833669288e-05
444, 2.489277148978049e-05
445, 2.4932260733612026e-05
446, 2.4971709714185792e-05
447, 2.5011118579648594e-05
448, 2.5050487477277876e-05
449, 2.5089816553488877e-05
450, 2.5129105953842287e-05
451, 2.5168355823049614e-05
452, 2.520756630498059e-05
453, 2.5246737542669806e-05
454, 2.5285869678323113e-05
455, 2.5324962853323544e-05
456, 2.536401720823863e-05
457, 2.540303288282573e-05
458, 2.5442010016039354e-05
459, 2.5480948746036218e-05
460, 2.5519849210182603e-05
461, 2.5558711545059555e-05
462, 2.559753588646902e-05
